---config@码表分类=主码-系统码表
---config@码表别名= 系统词库
啊	a
安营扎寨	ayvv
安于现状	ayxv
暗自	az
艾滋病	azb
艾滋病	azbk
爱憎分明	azfm
不	b
把	ba
鲅	baa
鲅	baad
爸	bab
爸爸	baba
疤	babb
八宝	babc
八百	babd
芭比	babi
把柄	babk
芭	bac
芭	bacb
拔草	bacc
灞	bad
霸道	badc
拔掉	badn
灞	bado
巴豆	badz
北爱尔兰	bael
拔	baf
扒	bafb
捌	bafd
把风	bafg
八方	bafh
靶	bag
靶	bagb
拔高	bagc
八个	bage
把关	bagr
罢工	bags
八股	bagu
八卦	bagx
疤痕	bah
拔河	bahe
疤痕	bahf
跋扈	bahu
拔出	bai
扒车	baie
八成	baig
靶场	baih
把持	baii
拔出	baiu
钯	baj
钯	bajb
吧唧	baji
拔尖	bajm
八角	bajn
巴结	bajp
吧	bak
叭	bakb
罢课	bake
耙	bal
扒拉	bala
巴林	balb
罢了	bale
巴黎	bali
芭蕾	balw
粑	bam
爸妈	bama
朳	bamb
拔毛	bamc
把脉	bamd
把门	bamf
罢免	bamm
八	bap
扒皮	bapi
八	bapn
霸权	baq
霸气	baqi
八千	baqm
霸权	baqr
罢	bas
罢赛	basd
巴	basl
罢	bass
八岁	basv
坝	bat
吧台	batd
八天	batm
坝	batr
拔腿	batv
把守	bau
跋涉	baue
八十	baui
巴蜀	bauu
把手	bauz
巴	bav
笆	bavb
八折	bave
巴掌	bavh
霸占	bavj
霸主	bavu
巴	bavv
把握	baw
把稳	bawf
霸王	bawh
八万	bawj
把握	bawo
把戏	bax
靶心	baxb
巴西	baxi
八仙	baxm
罢休	baxq
拔下	baxx
八旬	baxy
霸	bay
拔牙	baya
霸业	baye
八一	bayi
霸	bayo
八月	bayt
跋	baz
跋	bazd
八字	bazi
保安族	bazu
滨	bb
鬓	bba
鬓	bbab
宾	bbb
宾	bbbb
不卑不亢	bbbk
濒	bbd
殡	bbdb
办不到	bbdc
巴不得	bbde
百般刁难	bbdn
濒	bbdr
不必当真	bbdv
摈	bbf
摈	bbfb
缤纷	bbff
宾馆	bbgr
滨海	bbh
滨海	bbhd
滨河	bbhe
百步穿杨	bbiy
镔	bbj
镔	bbjb
变本加厉	bbjl
鬓角	bbjn
比比皆是	bbju
宾客	bbk
宾客	bbke
必不可少	bbku
八百里	bbl
濒临	bblb
宾利	bbli
斑驳陆离	bbll
殡殓	bblm
便把令来行	bblx
巴比伦	bbly
彬	bbm
槟	bbmb
鬓毛	bbmc
爸爸妈妈	bbmm
彬	bbmp
膑	bbo
膑	bbob
宾朋	bbp
宾朋	bbpg
白白胖胖	bbpp
北半球	bbq
摈弃	bbqi
北半球	bbqq
兵败如山倒	bbrd
缤	bbs
缤	bbsb
蹦蹦跳跳	bbtt
八宝粥	bbv
不败之地	bbvd
八拜之交	bbvj
宾主	bbvu
不辨真伪	bbvw
不白之冤	bbvy
八宝粥	bbvz
斌	bbw
被逼无奈	bbwn
斌	bbwv
濒危	bbww
白璧微瑕	bbwx
步步为营	bbwy
兵不血刃	bbxr
并不需要	bbxy
不必要	bby
不必要	bbyc
北冰洋	bbyh
彬彬有礼	bbyl
宾语	bbyu
兵不厌诈	bbyv
半辈子	bbz
殡葬	bbzh
半辈子	bbzi
不必在意	bbzy
报	bc
鲍	bca
保安	bcan
鲍	bcas
包	bcb
鸨	bcb
宝宝	bcbc
刨	bcbd
保本	bcbf
包庇	bcbi
包办	bcbj
褒贬	bcbm
报表	bcbn
保镖	bcbn
包	bcbs
宝贝	bcbw
宝	bcby
薄	bcc
薄	bccc
爆仓	bcch
饱餐	bccj
葆	bccm
报错	bcco
苞	bccs
保存	bccy
瀑	bcd
报答	bcda
报道	bcdc
报到	bcdc
宝地	bcdi
保单	bcdj
保定	bcdk
宝典	bcdm
暴跌	bcdp
暴动	bcds
报毒	bcdu
报恩	bce
不辞而别	bceb
报恩	bcen
抱	bcf
爆发	bcfa
暴风	bcfg
包房	bcfh
抱	bcfs
报复	bcfu
包袱	bcfu
报废	bcfw
报	bcfy
报告	bcg
报告	bcgc
宝盖	bcgd
饱嗝	bcge
包干	bcgj
曝光	bcgl
本草纲目	bcgm
包裹	bcgo
保管	bcgr
包公	bcgs
包谷	bcgu
宝贵	bcgv
包给	bcgw
爆	bch
包好	bchc
饱和	bche
抱恨	bchf
包含	bchj
包换	bchr
保护	bchu
包藏祸心	bchx
报仇	bci
宝刹	bcia
爆炒	bcic
包车	bcie
包场	bcih
保持	bcii
爆出	bciu
报酬	bciz
宝剑	bcj
抱紧	bcjb
不存芥蒂	bcjd
宝鸡	bcji
报警	bcjk
褒奖	bcjl
保健	bcjm
保洁	bcjp
保举	bcju
报价	bcjx
暴君	bcjy
包括	bck
报考	bckc
报刊	bckj
包括	bcko
病从口入	bckr
宝库	bcku
抱愧	bckv
保留	bcl
报了	bcle
爆冷	bclg
暴力	bcli
包揽	bclj
不辞劳苦	bclk
爆料	bcln
包罗	bclo
爆裂	bclp
保留	bclq
暴乱	bclr
暴露	bclu
堡垒	bclw
保密	bcm
宝马	bcma
百辞莫辩	bcmb
保密	bcmi
饱满	bcmj
报名	bcmk
薄膜	bcmo
保姆	bcmu
胞妹	bcmw
保暖	bcn
保暖	bcnr
暴虐	bcnt
暴怒	bcnu
暴	bco
胞	bcos
曝	bcou
褓	bcp
爆棚	bcpg
报批	bcpi
褓	bcpm
包票	bcpn
爆破	bcpo
包赔	bcpw
抱歉	bcq
抱起	bcqi
报请	bcqk
抱歉	bcqm
保全	bcqr
抱屈	bcqu
保	bcr
保人	bcrf
煲	bcrh
保	bcrm
包容	bcrs
堡	bcrt
报送	bcs
报丧	bcsh
暴死	bcsi
报送	bcss
煲汤	bct
宝塔	bcta
爆胎	bctd
煲汤	bcth
报摊	bctj
报亭	bctk
暴跳	bctn
抱团	bctr
暴徒	bctu
包头	bctz
饱	bcu
暴晒	bcud
报社	bcue
报审	bcuf
报上	bcuh
宝石	bcui
宝山	bcuj
抱残守缺	bcuq
饱	bcus
报数	bcuu
报税	bcuv
保守	bcuz
豹	bcv
爆炸	bcva
剥	bcvd
抱着	bcve
抱枕	bcvf
保证	bcvg
保障	bcvh
报纸	bcvi
报站	bcvj
包装	bcvl
保重	bcvs
抱住	bcvu
保准	bcvy
煲粥	bcvz
褒	bcw
保温	bcwf
博茨瓦纳	bcwn
宝物	bcwu
包围	bcww
保卫	bcww
褒	bcwy
保险	bcx
报信	bcxb
报喜	bcxi
暴行	bcxk
包厢	bcxl
保险	bcxm
报销	bcxn
保修	bcxq
胞兄	bcxs
包下	bcxx
雹	bcy
龅牙	bcya
报业	bcye
保养	bcyh
报以	bcyi
报应	bcyk
抱怨	bcyr
雹	bcys
包月	bcyt
暴雨	bcyu
保佑	bcyz
趵	bcz
包扎	bcza
暴躁	bczc
暴增	bczg
宝藏	bczh
包子	bczi
宝座	bczo
孢	bczs
包租	bczu
白	bd
百	bda
百	bdab
不得不	bdb
百宝	bdbc
拜拜	bdbd
败笔	bdbi
百般	bdbj
百病	bdbk
宝刀不老	bdbl
百变	bdbm
拜别	bdbp
百毒不侵	bdbq
摆布	bdbu
百倍	bdbw
不大不小	bdbx
百读不厌	bdby
白菜	bdc
百草	bdcc
白菜	bdcd
白醋	bdcu
拜读	bdd
白搭	bdda
拜倒	bddc
白带	bddd
白底	bddi
白丁	bddk
白点	bddm
摆动	bdds
不登大雅之堂	bddt
百度	bddu
背道而驰	bdei
拔地而起	bdeq
不得而知	bdev
摆	bdf
白发	bdfa
百分	bdff
拜访	bdfh
白饭	bdfj
拜佛	bdfo
摆	bdfs
捭	bdfu
白费	bdfw
白宫	bdg
白鸽	bdge
白干	bdgj
白光	bdgl
百官	bdgr
白宫	bdgs
白骨	bdgu
败给	bdgw
稗	bdh
摆好	bdhc
百合	bdhe
败坏	bdhk
百货	bdho
不得好死	bdhs
白虎	bdhu
拜会	bdhv
白话	bdhx
不动产	bdi
不到长城非好汉	bdih
白痴	bdii
不动产	bdij
百川	bdir
摆出	bdiu
不对劲	bdj
白金	bdjb
兵多将广	bdjg
败绩	bdji
白净	bdjk
拜见	bdjm
白酒	bdjq
白卷	bdjr
败局	bdju
博大精深	bdju
败家	bdjx
败军	bdjy
败	bdk
摆开	bdkd
百科	bdke
遍地开花	bdkh
不大可能	bdkn
摆阔	bdko
呗	bdkr
败	bdkw
不得了	bdl
白了	bdle
布达拉宫	bdlg
百里	bdli
白领	bdlk
白脸	bdlm
不得了	bdln
败落	bdlo
白鹭	bdlu
败类	bdlw
柏	bdm
白马	bdma
柏	bdmb
白忙	bdmh
百米	bdmi
摆满	bdmj
摆明	bdmk
白面	bdmm
白描	bdmn
白沫	bdmo
百年	bdn
白嫩	bdnf
拜年	bdnm
百鸟	bdnn
摆弄	bdns
白	bdp
摆平	bdpk
白	bdpo
摆谱	bdpu
不定期	bdq
不定期	bdqi
百强	bdql
不得其所	bdqs
佰	bdr
伯	bdrb
白人	bdrf
白日	bdri
不得人心	bdrx
白肉	bdrz
百色	bds
白色	bdse
冰冻三尺	bdsi
白送	bdss
败诉	bdsu
百岁	bdsv
拜托	bdt
百态	bdtd
白糖	bdth
摆摊	bdtj
白天	bdtm
白条	bdtn
摆脱	bdto
白兔	bdtu
败退	bdtv
白头	bdtz
拜	bdu
白纱	bdua
摆设	bdue
拜	bduf
摆上	bduh
拜师	bdui
拜山	bduj
白说	bduo
不动声色	bdus
掰	bduu
白水	bduv
拜寿	bduz
别当真	bdv
败招	bdvc
摆着	bdve
败阵	bdvf
摆正	bdvg
败仗	bdvh
白纸	bdvi
白昼	bdvz
本单位	bdw
百万	bdwj
不得无礼	bdwl
百位	bdww
北斗星	bdx
白皙	bdxi
百姓	bdxk
白线	bdxm
拜谢	bdxp
白熊	bdxs
白雪	bdxt
拔刀相助	bdxv
不得已	bdy
白银	bdyb
白药	bdyc
百业	bdye
白羊	bdyh
白衣	bdyi
白眼	bdyj
弊大于利	bdyl
百元	bdyr
白玉	bdyu
不得已而为之	bdyv
白云	bdyy
摆在	bdz
摆在	bdzd
白字	bdzi
白做	bdzo
白族	bdzu
不打自招	bdzv
败走	bdzz
不饿	be
博而不精	bebj
避而不谈	bebt
不二法门	befm
巴尔干	beg
巴尔干	begj
布尔什维克	beuk
巴尔扎克	bevk
本	bf
本	bfa
本	bfaa
本案	bfan
本报	bfbc
百分百	bfbd
笨笨	bfbf
百分比	bfbi
本表	bfbn
奔波	bfbo
本部	bfbu
百发百中	bfbv
苯	bfc
苯	bfcb
白发苍苍	bfcc
本次	bfci
不复存在	bfcz
奔	bfd
奔	bfdc
本当	bfdh
本地	bfdi
笨蛋	bfdj
夯	bfdl
百废待兴	bfdx
本分	bff
本分	bfff
奔放	bffh
奔赴	bffu
本该	bfg
本该	bfgd
本国	bfgo
暴发户	bfh
本行	bfhh
暴发户	bfhu
奔驰	bfi
本场	bfih
奔驰	bfii
不费吹灰之力	bfil
奔出	bfiu
锛	bfj
本金	bfjb
锛	bfjc
本季	bfji
本届	bfjp
本就	bfjq
本家	bfjx
本科	bfk
本科	bfke
本刊	bfkj
本来	bfl
本来	bfld
本领	bflk
奔流	bflq
本类	bflw
本轮	bfly
本名	bfmk
犇	bfn
本能	bfng
本年	bfnm
笨鸟	bfnn
奔跑	bfp
奔跑	bfpc
本票	bfpn
播放器	bfq
不分青红皂白	bfqb
本期	bfqi
本钱	bfqm
不乏其人	bfqr
本人	bfr
本人	bfrf
本日	bfri
本色	bfse
奔丧	bfsh
不负所托	bfst
奔腾	bft
奔逃	bftc
奔腾	bftg
本田	bftm
本条	bftn
本土	bftu
悲愤填膺	bfty
贲	bfu
本身	bfuf
本省	bfug
本事	bfui
贲	bfur
笨	bfv
百分之百	bfvb
本着	bfve
本质	bfvi
本站	bfvj
笨拙	bfvo
笨重	bfvs
不法之徒	bfvt
笨猪	bfvu
不负众望	bfvw
捕风捉影	bfvy
本周	bfvz
本文	bfw
本文	bfwf
本无	bfwu
本位	bfww
本息	bfx
本息	bfxi
白费心机	bfxj
本性	bfxk
本想	bfxl
本校	bfxn
不分轩轾	bfxv
不法行为	bfxw
本月	bfy
本页	bfye
本意	bfyi
本应	bfyk
本院	bfyr
本月	bfyt
奔走	bfzz
蹦	bg
甭	bgb
半工半读	bgbd
不管不顾	bgbg
不干不净	bgbj
毕恭毕敬	bgbj
秉公办理	bgbl
蚌埠	bgbu
甭	bgby
不敢当	bgd
绷带	bgdd
不敢当	bgdh
蹦迪	bgdi
绷断	bgdr
不共戴天	bgdt
崩	bge
不过尔尔	bgee
崩	bgeo
迸发	bgf
迸发	bgfa
甭管	bgg
甭管	bggr
不敢苟同	bggt
蚌	bgi
蚌	bgif
蹦床	bgil
白骨精	bgj
绷紧	bgjb
蹦极	bgji
百感交集	bgjj
白骨精	bgjk
不甘寂寞	bgjm
嘣	bgk
嘣	bgko
崩溃	bgkv
不归路	bgl
不甘落后	bglh
八国联军	bglj
波光粼粼	bgll
不敢掠美	bglm
不归路	bglu
崩盘	bgpj
卑躬屈膝	bgqx
不过如此	bgrc
绷	bgs
闭关锁国	bgsg
绷	bgso
不管三七二十一	bgsy
崩塌	bgt
崩塌	bgta
博古通今	bgtj
不关痛痒	bgty
泵	bgu
迸射	bgue
办公室	bgui
半个世纪	bguj
甭说	bguo
不甘示弱	bgur
兵贵神速	bgus
杯弓蛇影	bguy
半个钟	bgv
绷着	bgve
秉公执法	bgvf
绷直	bgvi
半个钟	bgvs
不轨之徒	bgvt
秉公无私	bgws
甭想	bgx
甭想	bgxl
不感兴趣	bgxq
半个小时	bgxu
半个月	bgy
不顾一切	bgyq
半个月	bgyt
迸	bgz
迸	bgzk
蹦	bgzo
不攻自破	bgzp
闭关自守	bgzu
帮	bh
不会吧	bhb
不会吧	bhba
帮帮	bhbh
不慌不忙	bhbm
蒡	bhc
蒡	bhcf
浜	bhd
棒打	bhda
浜	bhdb
变化多端	bhdd
绑定	bhdk
不寒而栗	bhel
不欢而散	bhes
邦	bhf
邦	bhfe
帮	bhfj
绑匪	bhfw
不合格	bhg
不合格	bhge
别鹤孤鸾	bhgl
帮工	bhgs
帮规	bhgv
北回归线	bhgx
白花花	bhh
棒喝	bhhe
帮会	bhhv
白花花	bhhx
不怀好意	bhhy
蚌	bhi
帮衬	bhif
磅秤	bhig
棒槌	bhiv
镑	bhj
绑紧	bhjb
镑	bhjf
棒极	bhji
邦交	bhjn
绑架	bhjx
蚌壳	bhke
不合理	bhl
绑牢	bhlc
帮了	bhle
悲欢离合	bhlh
不合理	bhli
棒	bhm
变幻莫测	bhmc
梆	bhme
榜	bhmf
帮忙	bhmh
兵荒马乱	bhml
膀	bho
膀	bhof
绑票	bhp
帮派	bhpd
绑票	bhpn
棒球	bhq
百花齐放	bhqf
帮腔	bhql
棒球	bhqq
傍	bhr
帮人	bhrf
绑	bhs
绑	bhse
磅	bhu
磅	bhuf
榜上	bhuh
不合时宜	bhuy
帮手	bhuz
帮助	bhv
帮着	bhve
不惑之年	bhvn
抱恨终天	bhvt
帮助	bhvu
百花争艳	bhvy
傍晚	bhw
变幻无常	bhwi
傍晚	bhwj
变化无穷	bhwq
帮凶	bhx
冰魂雪魄	bhxp
帮凶	bhxs
谤	bhy
谤	bhyf
榜样	bhyh
榜眼	bhyj
不好意思	bhys
不会有	bhyz
绑在	bhz
绑在	bhzd
棒子	bhzi
比	bi
彼岸	bia
彼岸	bian
毙	bib
毖	bibb
必败	bibd
臂膀	bibh
比比	bibi
弊病	bibk
痹	bibl
不吵不闹	bibn
碧波	bibo
毕	bibu
把持不住	bibv
必备	bibw
蔽	bic
薜	bic
蓖	bicb
彼此	bici
荜	bicu
蔽	bicw
荸	bicz
必	bid
泌	bidb
弊	bidc
必	bidd
必得	bide
壁灯	bidg
必定	bidk
濞	bidl
弊端	bidr
必读	bidu
比对	bidv
敝	bidw
陛	bie
陛	biet
比方	bif
笔法	bifa
比分	biff
避风	bifg
比方	bifh
庇	big
百尺竿头更进一步	bigb
弼	bigg
百川归海	bigh
笔杆	bigj
避光	bigl
闭关	bigr
百尺竿头	bigt
壁柜	bigv
秘	bihb
碧海	bihd
闭合	bihe
不差毫厘	bihl
避祸	biho
庇护	bihu
避讳	bihv
笔画	bihx
逼婚	bihy
彼	bii
彼	biiy
比较	bij
铋	bijb
笔记	biji
毕竟	bijk
必将	bijl
比肩	bijm
比较	bijn
必究	bijq
闭卷	bijr
别出机杼	bijv
备尝艰辛	bijx
鄙	bik
吡	bikb
避开	bikd
鄙	bike
鼻孔	biks
哔	biku
闭口	bikz
秘鲁	bil
比例	bili
碧蓝	bilj
鼻梁	bill
笔录	bilu
比率	bilv
壁垒	bilw
闭	bim
笔帽	bimc
闭门	bimf
鞭长莫及	bimj
笔名	bimk
避免	bimm
笔墨	bimo
闭幕	bimu
比美	bimw
婢	bin
比拟	bini
避难	binj
婢	binu
婢女	binv
睥	bio
睥	biou
币	bip
比拼	bipb
币	bipj
逼迫	bipo
裨	bipu
匕	bipv
比起	biqi
鼻腔	biql
壁球	biqq
俾	bir
避让	birh
必然	birj
比如	biru
纰	bis
纰	bisb
比赛	bisd
必死	bisi
不出所料	bisl
笔套	bitc
比特	bite
鼻涕	biti
笔挺	bitk
不成体统	bitt
鼻头	bitz
壁	biu
璧	biu
必杀	biua
屄	biub
必胜	biug
闭上	biuh
鄙视	biui
臂	biuo
贲	biur
壁	biut
避暑	biuu
辟	biuu
避税	biuv
笔顺	biuy
匕首	biuz
笔	biv
篦	bivb
比照	bivc
逼债	bivd
闭着	bive
逼真	bivf
必争	bivg
臂章	bivh
壁纸	bivi
笔直	bivi
笔	bivm
比重	bivs
筚	bivu
碧	biw
逼问	biwf
臂弯	biwj
比武	biwu
笔芯	bixb
别出心裁	bixc
报仇雪恨	bixh
鼻息	bixi
笔形	bixk
避嫌	bixm
避邪	bixp
必修	bixq
必选	bixr
鼻血	bixt
必须	bixu
不耻下问	bixw
陛下	bixx
鼻音	biyb
必要	biyc
毕业	biye
鄙夷	biyi
闭眼	biyj
必应	biyk
不齿于人	biyr
比喻	biyu
避孕	biyy
必有	biyz
避	biz
鼻子	bizi
鼻	bizl
比作	bizo
逼	bizt
鼻祖	bizu
闭嘴	bizv
逼走	bizz
办	bj
办案	bja
办案	bjan
颁	bjb
半百	bjbd
版本	bjbf
半壁	bjbi
斑斑	bjbj
搬兵	bjbk
半斤八两	bjbl
半边	bjbm
斑驳	bjbo
颁	bjbr
不见不散	bjbs
颁布	bjbu
瘢	bjby
不骄不躁	bjbz
半仓	bjc
板材	bjcd
半仓	bjch
班次	bjci
饱经沧桑	bjcs
半	bjd
办到	bjdc
不见得	bjde
板凳	bjdg
班底	bjdi
半	bjdl
斑点	bjdm
不减当年	bjdn
半段	bjdr
搬动	bjds
伴读	bjdu
阪	bje
比肩而立	bjel
阪	bjey
不胫而走	bjez
搬	bjf
办法	bjfa
拌	bjfb
扮	bjfd
半分	bjff
饱经风霜	bjfu
扳	bjfy
不及格	bjg
半个	bjge
不见棺材不落泪	bjgl
办公	bjgs
版规	bjgv
白驹过隙	bjgx
办好	bjh
办好	bjhc
瘢痕	bjhf
半酣	bjhj
版画	bjhx
半场	bji
班车	bjie
